Department  ,Division,Position Title,Employee Status,Initial Hire Date,Date in Position,Fair Labor Standards Act (FLSA) ,Base Salary
Parks and Recreation,RPOS-Youth Development,Youth Services Worker,Intermittent Temporary,06/10/2024,06/10/2024,Nonexempt,15.00
Parks and Recreation,RPOS-Youth Development,Youth Services Worker,Intermittent Temporary,06/10/2024,06/10/2024,Nonexempt,15.00
Parks and Recreation,"Rec.Pks,OpenSpace-Special Srvs",Lifeguard,Intermittent Temporary,05/29/2013,06/19/2021,Nonexempt,21.00
Parks and Recreation,RPOS Administrative Support,Bureau Manager,Permanent Full-time,02/05/2018,05/18/2024,Exempt,105540.00
Parks and Recreation,RPOS-Youth Development,Municipal Intern II,Intermittent Temporary,06/03/2024,06/03/2024,Nonexempt,17.00
Parks and Recreation,"Rec,Parks,OpenSpace-Rec Center",Recreation Aide,Intermittent Temporary,06/03/2023,06/03/2023,Nonexempt,15.75
Parks and Recreation,"Rec,Parks,OpenSpace-Rec Center",Recreation Aide,Intermittent Temporary,07/05/2022,08/12/2023,Nonexempt,15.75
Parks and Recreation,RPOS-Youth Development,Municipal Intern II,Intermittent Temporary,06/03/2023,06/03/2023,Nonexempt,17.85
Parks and Recreation,RPOS-Youth Development,Youth Services Worker,Intermittent Temporary,06/10/2024,06/10/2024,Nonexempt,15.00
Parks and Recreation,RPOS Administrative Support,Management Analyst III,Permanent Full-time,10/28/2019,12/05/2022,Exempt,73812.38
Parks and Recreation,"Rec.Pks,OpenSpace-Special Srvs",Lifeguard,Intermittent Temporary,06/06/2022,06/06/2022,Nonexempt,21.00
Parks and Recreation,"Rec,Parks,OpenSpace-Rec Center",Recreation Aide,Intermittent Temporary,06/20/2023,08/12/2023,Nonexempt,15.75
Parks and Recreation,RPOS - Landscape Services,Park Ranger II,Permanent Full-time,07/29/2023,05/06/2024,Nonexempt,49514.00
Parks and Recreation,"Rec.Pks,OpenSpace-Special Srvs",Lifeguard,Permanent Full-time,12/16/2023,12/16/2023,Nonexempt,45760.00
Parks and Recreation,RPOS - Landscape Services,Groundskeeper Crew Leader,Permanent Full-time,04/24/2017,10/28/2019,Nonexempt,40362.00
Parks and Recreation,RPOS-Youth Development,Youth Services Worker,Intermittent Temporary,07/05/2022,06/08/2024,Nonexempt,15.00
Parks and Recreation,RPOS-Youth Development,Youth Services Worker,Intermittent Temporary,06/20/2023,06/08/2024,Nonexempt,15.00
Parks and Recreation,"Rec.Pks,OpenSpace-Special Srvs",Lifeguard,Intermittent Temporary,04/22/2024,05/04/2024,Nonexempt,20.00
Parks and Recreation,"Rec,Parks,OpenSpace-Rec Center",Recreation Aide,Intermittent Temporary,06/20/2023,08/12/2023,Nonexempt,15.75
Parks and Recreation,RPOS-Youth Development,Municipal Intern II,Intermittent Temporary,06/03/2024,06/03/2024,Nonexempt,17.00
Parks and Recreation,RPOS - Landscape Services,Groundskeeper,Permanent Full-time,01/16/2024,01/16/2024,Nonexempt,39312.00
Parks and Recreation,"Rec.Pks,OpenSpace-Special Srvs",Lifeguard,Intermittent Temporary,05/09/2022,05/09/2022,Nonexempt,22.00
Parks and Recreation,RPOS-Youth Development,Youth Services Worker,Intermittent Temporary,06/10/2024,06/10/2024,Nonexempt,15.00
Parks and Recreation,RPOS - Landscape Services,Athletics Groundskeeper,Permanent Full-time,11/04/2023,11/04/2023,Nonexempt,39837.00
Parks and Recreation,RPOS-Youth Development,Youth Services Worker,Intermittent Temporary,06/10/2024,06/10/2024,Nonexempt,15.00
Parks and Recreation,RPOS-Youth Development,Youth Services Worker,Intermittent Temporary,06/08/2024,06/08/2024,Nonexempt,15.00
Parks and Recreation,RPOS-Youth Development,Youth Services Worker,Intermittent Temporary,06/20/2023,06/08/2024,Nonexempt,15.00
Parks and Recreation,"Rec.Pks,OpenSpace-Special Srvs",Lifeguard,Intermittent Temporary,06/13/2024,06/13/2024,Nonexempt,20.00
Parks and Recreation,"Rec,Parks,OpenSpace-Rec Center",Recreation Aide,Intermittent Temporary,07/09/2013,09/12/2022,Nonexempt,15.75
Parks and Recreation,RPOS-Youth Development,Youth Services Worker,Intermittent Temporary,06/10/2024,06/10/2024,Nonexempt,15.00
Parks and Recreation,"Rec,Pks,OpenSpace-Therapeutics",Recreation Aide,Intermittent Temporary,05/20/2023,05/20/2023,Nonexempt,15.75
Parks and Recreation,RPOS-Youth Development,Municipal Intern II,Intermittent Temporary,06/03/2024,06/03/2024,Nonexempt,17.00
Parks and Recreation,RPOS-Youth Development,Municipal Intern II,Intermittent Temporary,06/03/2024,06/03/2024,Nonexempt,17.00
Parks and Recreation,"Rec,Parks,OpenSpace-Rec Center",Recreation Supervisor,Permanent Full-time,06/13/2015,07/05/2022,Exempt,52868.74
Parks and Recreation,"Rec.Pks,OpenSpace-Special Srvs",Lifeguard,Intermittent Temporary,04/22/2024,05/04/2024,Nonexempt,20.00
Parks and Recreation,RPOS-Youth Development,Youth Services Worker,Intermittent Temporary,06/19/2019,06/08/2024,Nonexempt,15.00
Parks and Recreation,"Rec.Pks,OpenSpace-Special Srvs",Lifeguard,Intermittent Temporary,05/06/2023,05/06/2023,Nonexempt,22.00
Parks and Recreation,"Rec,Parks,OpenSpace-Rec Center",Recreation Aide,Intermittent Temporary,06/01/2024,06/01/2024,Nonexempt,15.00
Parks and Recreation,"Rec,Parks,OpenSpace-Rec Center",Recreation Aide,Intermittent Temporary,04/07/2024,04/07/2024,Nonexempt,15.00
Parks and Recreation,RPOS - Landscape Services,Groundskeeper,Permanent Full-time,05/09/2022,07/12/2023,Nonexempt,39312.00
Parks and Recreation,"Rec,Parks,OpenSpace-Rec Center",Recreation Aide,Intermittent Temporary,01/02/2013,05/20/2023,Nonexempt,15.75
Parks and Recreation,RPOS-Youth Development,Youth Services Worker,Intermittent Temporary,06/10/2024,06/10/2024,Nonexempt,15.00
Parks and Recreation,"Rec,Parks,OpenSpace-Rec Center",Recreation Aide,Intermittent Temporary,11/19/2022,11/19/2022,Nonexempt,15.75
Parks and Recreation,RPOS - Landscape Services,Equipment Operator IV,Permanent Full-time,03/27/2006,04/10/2021,Nonexempt,43675.35
Parks and Recreation,"Rec.Pks,OpenSpace-Special Srvs",Lifeguard,Intermittent Temporary,06/16/2016,02/10/2024,Nonexempt,20.00
Parks and Recreation,RPOS-Youth Development,Municipal Intern II,Intermittent Temporary,06/03/2024,06/03/2024,Nonexempt,17.00
Parks and Recreation,"Rec.Pks,OpenSpace-Special Srvs",Division Head,Permanent Full-time,03/05/2007,03/05/2007,Exempt,99922.79
Parks and Recreation,RPOS-Youth Development,Youth Services Worker,Intermittent Temporary,06/10/2024,06/10/2024,Nonexempt,15.00
Parks and Recreation,"Rec,Parks,OpenSpace-Rec Center",Recreation Specialist,Permanent Full-time,01/27/2024,01/27/2024,Nonexempt,41187.00
Parks and Recreation,"Rec.Pks,OpenSpace-Special Srvs",Lifeguard,Intermittent Temporary,06/03/2023,06/03/2023,Nonexempt,22.00
Parks and Recreation,"Rec,Parks,OpenSpace-Rec Center",Recreation Specialist,Permanent Full-time,04/25/2022,05/06/2024,Nonexempt,41187.00
Parks and Recreation,RPOS - Landscape Services,Groundskeeper Crew Leader,Permanent Full-time,10/23/2015,03/28/2022,Nonexempt,40362.00
Parks and Recreation,RPOS-Youth Development,Youth Services Worker,Intermittent Temporary,06/10/2024,06/10/2024,Nonexempt,15.00
Parks and Recreation,RPOS-Youth Development,Youth Services Worker,Intermittent Temporary,06/20/2023,06/08/2024,Nonexempt,15.00
Parks and Recreation,RPOS - Landscape Services,Tree Trimmer I,Permanent Full-time,02/19/2019,02/18/2020,Nonexempt,40100.00
Parks and Recreation,RPOS-Youth Development,Municipal Intern II,Intermittent Temporary,06/03/2024,06/03/2024,Nonexempt,17.00
Parks and Recreation,"Rec.Pks,OpenSpace-Special Srvs",Lifeguard,Intermittent Temporary,03/23/2024,03/23/2024,Nonexempt,20.00
Parks and Recreation,"Rec.Pks,OpenSpace-Special Srvs",Lifeguard,Intermittent Temporary,01/02/2024,01/02/2024,Nonexempt,20.00
Parks and Recreation,RPOS-Youth Development,Youth Services Worker,Intermittent Temporary,06/10/2024,06/10/2024,Nonexempt,15.00
Parks and Recreation,"Rec,Pks,OpenSpace-Therapeutics",Therapeutic Rec Specialist,Permanent Full-time,09/23/2023,09/23/2023,Nonexempt,41187.00
Parks and Recreation,RPOS-Youth Development,Youth Services Worker,Intermittent Temporary,06/08/2024,06/08/2024,Nonexempt,15.00
Parks and Recreation,"Rec,Pks,OpenSpace-Therapeutics",Messenger/Driver,Permanent Full-time,08/15/2022,08/15/2022,Nonexempt,39312.00
Parks and Recreation,"Rec.Pks,OpenSpace-Special Srvs",Lifeguard,Intermittent Temporary,07/01/2023,07/01/2023,Nonexempt,24.00
Parks and Recreation,RPOS - Landscape Services,Administrative Assistant I,Permanent Full-time,11/01/1993,10/09/2021,Nonexempt,44287.43
Parks and Recreation,"Rec,Parks,OpenSpace-Rec Center",Administrative Assistant I,Permanent Full-time,03/19/2018,10/14/2019,Nonexempt,40362.00
Parks and Recreation,"Rec,Parks,OpenSpace-Rec Center",Recreation Aide,Intermittent Temporary,06/19/2019,04/08/2024,Nonexempt,15.00
Parks and Recreation,RPOS-Youth Development,Youth Services Worker,Intermittent Temporary,06/10/2024,06/10/2024,Nonexempt,15.00
Parks and Recreation,"Rec,Parks,OpenSpace-Rec Center",Recreation Aide,Intermittent Temporary,06/20/2018,04/10/2023,Nonexempt,15.75
Parks and Recreation,RPOS - Landscape Services,Equipment Operator III,Permanent Full-time,04/24/2021,01/29/2022,Nonexempt,40100.00
Parks and Recreation,"Rec.Pks,OpenSpace-Special Srvs",Lifeguard,Intermittent Temporary,04/08/2024,04/08/2024,Nonexempt,20.00
Parks and Recreation,"Rec,Parks,OpenSpace-Rec Center",Recreation Specialist,Permanent Full-time,07/05/2022,10/22/2022,Nonexempt,41187.30
Parks and Recreation,"Rec,Parks,OpenSpace-Rec Center",Recreation Aide,Intermittent Temporary,07/05/2022,04/08/2023,Nonexempt,15.75
Parks and Recreation,RPOS-Youth Development,Youth Services Worker,Intermittent Temporary,06/08/2024,06/08/2024,Nonexempt,15.00
Parks and Recreation,RPOS-Youth Development,Youth Services Worker,Intermittent Temporary,06/08/2024,06/08/2024,Nonexempt,15.00
Parks and Recreation,RPOS-Youth Development,Municipal Intern II,Intermittent Temporary,06/01/2024,06/01/2024,Nonexempt,17.00
Parks and Recreation,"Rec,Parks,OpenSpace-Rec Center",Recreation Aide,Intermittent Temporary,06/13/2015,07/05/2022,Nonexempt,15.75
Parks and Recreation,"Rec.Pks,OpenSpace-Special Srvs","Recreation Supervisor, Senior",Permanent Full-time,06/14/2001,12/19/2016,Exempt,65000.00
Parks and Recreation,RPOS-Youth Development,Youth Services Worker,Intermittent Temporary,06/08/2024,06/08/2024,Nonexempt,15.00
Parks and Recreation,RPOS-Youth Development,Youth Services Worker,Intermittent Temporary,06/08/2024,06/08/2024,Nonexempt,15.00
Parks and Recreation,"Rec,Parks,OpenSpace-Rec Center",Recreation Aide,Intermittent Temporary,07/05/2022,11/18/2023,Nonexempt,15.75
Parks and Recreation,RPOS-Youth Development,Youth Services Worker,Intermittent Temporary,06/08/2024,06/08/2024,Nonexempt,15.00
Parks and Recreation,RPOS-Youth Development,Youth Services Worker,Intermittent Temporary,06/08/2024,06/08/2024,Nonexempt,15.00
Parks and Recreation,"Rec,Pks,OpenSpace-Therapeutics",Recreation Supervisor,Permanent Full-time,03/17/2000,03/09/2024,Exempt,48912.00
Parks and Recreation,RPOS-Youth Development,Youth Services Worker,Intermittent Temporary,06/08/2024,06/08/2024,Nonexempt,15.00
Parks and Recreation,RPOS - Landscape Services,Maintenance Supervisor II,Permanent Full-time,01/28/2013,05/11/2019,Exempt,57519.36
Parks and Recreation,RPOS-Youth Development,Youth Services Worker,Intermittent Temporary,07/05/2022,06/08/2024,Nonexempt,15.00
Parks and Recreation,RPOS-Youth Development,Youth Services Worker,Intermittent Temporary,06/10/2024,06/10/2024,Nonexempt,15.00
Parks and Recreation,"Rec,Pks,OpenSpace-Therapeutics",Division Head,Permanent Full-time,09/10/2011,10/17/2021,Exempt,95876.27
Parks and Recreation,RPOS-Youth Development,Youth Services Worker,Intermittent Temporary,06/21/2022,06/08/2024,Nonexempt,15.00
Parks and Recreation,RPOS-Youth Development,Municipal Intern II,Intermittent Temporary,06/03/2024,06/03/2024,Nonexempt,17.00
Parks and Recreation,"Rec,Parks,OpenSpace-Rec Center",Recreation Aide,Intermittent Temporary,06/19/2019,04/10/2023,Nonexempt,15.75
Parks and Recreation,"Rec.Pks,OpenSpace-Special Srvs",Lifeguard,Intermittent Temporary,06/03/2023,06/03/2023,Nonexempt,20.00
Parks and Recreation,RPOS-Youth Development,Youth Services Worker,Intermittent Temporary,06/20/2023,06/10/2024,Nonexempt,15.00
Parks and Recreation,RPOS - Landscape Services,Park Ranger I,Permanent Full-time,12/02/2023,12/02/2023,Nonexempt,42763.30
Parks and Recreation,RPOS-Youth Development,Youth Services Worker,Intermittent Temporary,06/21/2022,06/10/2024,Nonexempt,15.00
Parks and Recreation,"Rec.Pks,OpenSpace-Special Srvs",Recreation Specialist,Permanent Full-time,07/17/2017,04/22/2024,Nonexempt,41187.00
Parks and Recreation,"Rec,Pks,OpenSpace-Therapeutics",Therapeutic Rec Specialist,Permanent Full-time,12/03/2022,12/03/2022,Nonexempt,45688.65
Parks and Recreation,RPOS - Landscape Services,City Forester,Permanent Full-time,05/14/2018,05/14/2018,Exempt,91178.85
Parks and Recreation,"Rec.Pks,OpenSpace-Special Srvs",Lifeguard,Permanent Full-time,06/01/2024,06/01/2024,Nonexempt,41600.00
Parks and Recreation,"Rec.Pks,OpenSpace-Special Srvs",Lifeguard,Intermittent Temporary,06/01/2024,06/01/2024,Nonexempt,20.00
Parks and Recreation,RPOS-Youth Development,Municipal Intern II,Intermittent Temporary,06/03/2024,06/03/2024,Nonexempt,17.00
Parks and Recreation,RPOS - Directors Office,Assistant Director,Permanent Full-time,07/27/2015,06/10/2019,Exempt,144703.00
Parks and Recreation,RPOS - Landscape Services,Groundskeeper,Permanent Full-time,06/22/2019,05/09/2022,Nonexempt,39312.00
Parks and Recreation,"Rec,Parks,OpenSpace-Rec Center",Recreation Aide,Intermittent Temporary,06/21/2022,04/10/2023,Nonexempt,15.75
Parks and Recreation,RPOS - Landscape Services,Equipment Operator II,Permanent Full-time,10/11/2021,03/28/2022,Nonexempt,39837.00
Parks and Recreation,RPOS - Landscape Services,Groundskeeper,Permanent Full-time,09/24/2022,09/24/2022,Nonexempt,39312.00
Parks and Recreation,"Rec,Parks,OpenSpace-Rec Center",Recreation Aide,Intermittent Temporary,06/29/2009,08/02/2021,Nonexempt,15.75
Parks and Recreation,"Rec,Parks,OpenSpace-Rec Center",Recreation Aide,Intermittent Temporary,06/20/2023,08/12/2023,Nonexempt,15.75
Parks and Recreation,RPOS-Youth Development,Youth Services Worker,Intermittent Temporary,06/20/2023,06/08/2024,Nonexempt,15.00
Parks and Recreation,RPOS - Landscape Services,Groundskeeper,Permanent Full-time,06/24/2002,06/24/2002,Nonexempt,39312.00
Parks and Recreation,RPOS - Landscape Services,Equipment Operator II,Permanent Full-time,11/19/2022,11/19/2022,Nonexempt,39837.00
Parks and Recreation,"Rec.Pks,OpenSpace-Special Srvs",Lifeguard,Intermittent Temporary,07/01/2023,07/01/2023,Nonexempt,20.00
Parks and Recreation,RPOS-Youth Development,Municipal Intern II,Intermittent Temporary,06/03/2024,06/03/2024,Nonexempt,17.00
Parks and Recreation,RPOS - Directors Office,Communications Account Manager,Permanent Full-time,12/16/2023,12/16/2023,Exempt,80000.00
Parks and Recreation,"Rec.Pks,OpenSpace-Special Srvs",Lifeguard,Intermittent Temporary,04/08/2024,04/08/2024,Nonexempt,20.00
Parks and Recreation,"Rec.Pks,OpenSpace-Special Srvs",Lifeguard,Intermittent Temporary,07/06/2006,06/15/2024,Nonexempt,26.00
Parks and Recreation,"Rec,Parks,OpenSpace-Rec Center",Recreation Aide,Intermittent Temporary,06/20/2023,08/12/2023,Nonexempt,15.75
Parks and Recreation,"Rec.Pks,OpenSpace-Special Srvs","Recreation Supervisor, Senior",Permanent Full-time,07/08/2005,02/14/2022,Exempt,63713.00
Parks and Recreation,RPOS - Landscape Services,Forestry Crew Leader,Permanent Full-time,12/06/2021,09/11/2023,Nonexempt,45013.00
Parks and Recreation,"Rec,Parks,OpenSpace-Rec Center",Recreation Aide,Intermittent Temporary,11/18/2023,11/18/2023,Nonexempt,15.00
Parks and Recreation,"Rec,Parks,OpenSpace-Rec Center",Facilities Manager,Permanent Full-time,02/01/2020,02/01/2020,Exempt,73812.38
Parks and Recreation,"Rec,Parks,OpenSpace-Rec Center",Recreation Specialist,Permanent Full-time,06/21/2022,05/20/2023,Nonexempt,41187.30
Parks and Recreation,"Rec,Parks,OpenSpace-Rec Center",Rec Activity Instructor,Intermittent Temporary,05/11/2019,09/12/2022,Nonexempt,17.06
Parks and Recreation,RPOS - Landscape Services,Groundskeeper Crew Leader,Permanent Full-time,10/23/1996,03/23/1999,Nonexempt,51344.74
Parks and Recreation,"Rec,Parks,OpenSpace-Rec Center",Recreation Aide,Intermittent Temporary,06/20/2023,08/12/2023,Nonexempt,15.75
Parks and Recreation,RPOS-Youth Development,Municipal Intern II,Intermittent Temporary,06/03/2024,06/03/2024,Nonexempt,17.00
Parks and Recreation,RPOS - Landscape Services,Groundskeeper Crew Leader,Permanent Full-time,02/06/2017,10/28/2019,Nonexempt,40362.00
Parks and Recreation,RPOS-Youth Development,Youth Services Worker,Intermittent Temporary,06/08/2024,06/08/2024,Nonexempt,15.00
Parks and Recreation,RPOS - Landscape Services,Groundskeeper Crew Leader,Permanent Full-time,03/04/2019,09/13/2021,Nonexempt,40362.00
Parks and Recreation,"Rec,Parks,OpenSpace-Rec Center",Division Head,Permanent Full-time,08/01/2022,08/01/2022,Exempt,91350.00
Parks and Recreation,"Rec,Pks,OpenSpace-Therapeutics",Recreation Aide,Intermittent Temporary,06/14/2004,06/03/2023,Nonexempt,15.75
Parks and Recreation,"Rec,Pks,OpenSpace-Therapeutics",Recreation Aide,Intermittent Temporary,06/20/2023,06/01/2024,Nonexempt,15.00
